001 , Cholera
001.0 , Due to Vibrio cholerae
001.1 , Due to Vibrio cholerae el tor
001.9 , Cholera, unspecified
002 , Typhoid and paratyphoid fevers
002.0 , Typhoid fever
002.1 , Paratyphoid fever A
002.2 , Paratyphoid fever B
002.3 , Paratyphoid fever C
002.9 , Paratyphoid fever, unspecified
003 , Other salmonella infections
003.0 , Salmonella gastroenteritis
003.1 , Salmonella septicemia
003.2 , Localized salmonella infections
003.20 , Localized salmonella infection, unspecified
003.21 , Salmonella meningitis
003.22 , Salmonella pneumonia
003.23 , Salmonella arthritis
003.24 , Salmonella osteomyelitis
003.29 , Other
003.8 , Other specified salmonella infections
003.9 , Salmonella infection, unspecified
004 , Shigellosis
004.0 , Shigella dysenteriae
004.1 , Shigella flexneri
004.2 , Shigella boydii
004.3 , Shigella sonnei
004.8 , Other specified shigella infections
004.9 , Shigellosis, unspecified
005 , Other food poisoning (bacterial)
005.0 , Staphylococcal food poisoning
005.1 , Botulism food poisoning
005.2 , Food poisoning due to Clostridium perfringens [C. welchii]
005.3 , Food poisoning due to other Clostridia
005.4 , Food poisoning due to Vibrio parahaemolyticus
005.8 , Other bacterial food poisoning
005.81 , Food poisoning due to Vibrio vulnificus
005.89 , Other bacterial food poisoning
005.9 , Food poisoning, unspecified
006 , Amebiasis
006.0 , Acute amebic dysentery without mention of abscess
006.1 , Chronic intestinal amebiasis without mention of abscess
006.2 , Amebic nondysenteric colitis
006.3 , Amebic liver abscess
006.4 , Amebic lung abscess
006.5 , Amebic brain abscess
006.6 , Amebic skin ulceration
006.8 , Amebic infection of other sites
006.9 , Amebiasis, unspecified
007 , Other protozoal intestinal diseases
007.0 , Balantidiasis
007.1 , Giardiasis
007.2 , Coccidiosis
007.3 , Intestinal trichomoniasis
007.4 , Cryptosporidiosis
007.5 , Cyclosporiasis
007.8 , Other specified protozoal intestinal diseases
007.9 , Unspecified protozoal intestinal disease
008 , Intestinal infections due to other organisms
008.0 , Escherichia coli [E. coli]
008.00 , E. coli, unspecified
008.01 , Enteropathogenic E. coli
008.02 , Enterotoxigenic E. coli
008.03 , Enteroinvasive E. coli
008.04 , Enterohemorrhagic E. coli
008.09 , Other intestinal E. coli infections
008.1 , Arizona group of paracolon bacilli
008.2 , Aerobacter aerogenes
008.3 , Proteus (mirabilis) (morganii)
008.4 , Other specified bacteria
008.41 , Staphylococcus
008.42 , Pseudomonas
008.43 , Campylobacter
008.44 , Yersinia enterocolitica
008.45 , Clostridium difficile
008.46 , Other anaerobes
008.47 , Other gram-negative bacteria
008.49 , Other
008.5 , Bacterial enteritis, unspecified
008.6 , Enteritis due to specified virus
008.61 , Rotavirus
008.62 , Adenovirus
008.63 , Norwalk virus
008.64 , Other small round viruses [SRV's]
008.65 , Calcivirus
008.66 , Astrovirus
008.67 , Enterovirus NEC
008.69 , Other viral enteritis
008.8 , Other organism, not elsewhere classified
009 , Ill-defined intestinal infections
009.0 , Infectious colitis, enteritis, and gastroenteritis
009.1 , Colitis, enteritis, and gastroenteritis of presumed infectious origin
009.2 , Infectious diarrhea
009.3 , Diarrhea of presumed infectious origin
0 , unspecified
1 , bacteriological or histological examination not done
2 , bacteriological or histological examination unknown (at present)
3 , tubercle bacilli found (in sputum) by microscopy
4 , tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture
5 , tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically
6 , tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals]
010 , Primary tuberculous infection
010.0 , Primary tuberculous infection
010.1 , Tuberculous pleurisy in primary progressive tuberculosis
010.8 , Other primary progressive tuberculosis
010.9 , Primary tuberculous infection, unspecified
011 , Pulmonary tuberculosis
011.0 , Tuberculosis of lung, infiltrative
011.1 , Tuberculosis of lung, nodular
011.2 , Tuberculosis of lung with cavitation
011.3 , Tuberculosis of bronchus
011.4 , Tuberculous fibrosis of lung
011.5 , Tuberculous bronchiectasis
011.6 , Tuberculous pneumonia [any form]
011.7 , Tuberculous pneumothorax
011.8 , Other specified pulmonary tuberculosis
011.9 , Pulmonary tuberculosis, unspecified
012 , Other respiratory tuberculosis
012.0 , Tuberculous pleurisy
012.1 , Tuberculosis of intrathoracic lymph nodes
012.2 , Isolated tracheal or bronchial tuberculosis
012.3 , Tuberculous laryngitis
012.8 , Other specified respiratory tuberculosis
013 , Tuberculosis of meninges and central nervous system
013.0 , Tuberculous meningitis
013.1 , Tuberculoma of meninges
013.2 , Tuberculoma of brain
013.3 , Tuberculous abscess of brain
013.4 , Tuberculoma of spinal cord
013.5 , Tuberculous abscess of spinal cord
013.6 , Tuberculous encephalitis or myelitis
013.8 , Other specified tuberculosis of central nervous system
013.9 , Unspecified tuberculosis of central nervous system
014 , Tuberculosis of intestines, peritoneum, and mesenteric glands
014.0 , Tuberculous peritonitis
014.8 , Other
015 , Tuberculosis of bones and joints
015.0 , Vertebral column
015.1 , Hip
015.2 , Knee
015.5 , Limb bones
015.6 , Mastoid
015.7 , Other specified bone
015.8 , Other specified joint
015.9 , Tuberculosis of unspecified bones and joints
016 , Tuberculosis of genitourinary system
